Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,N_Gain_Ancs,N_Loss_Ancs,N_Gain_Tips,N_Loss_Tips,Method_V2,N_Events_Ancs,N_Events_Tips
Pangene_0.9.Miniprot0.95,ShortRead,All,Bakta,Pangene,900,3365,4265,1725,1653,4791,3858,"Pangene 
 (C0.9-M0.95)",3378,8649
Pangene_0.9.Miniprot0.98,LongRead,All,Bakta,Pangene,372,3793,4165,148,462,295,644,"Pangene 
 (C0.9-M0.98)",610,939
Pangene_0.9.Miniprot0.98,LongRead,All,PGAP,Pangene,280,3815,4095,96,427,182,543,"Pangene 
 (C0.9-M0.98)",523,725
Pangene_0.9.Miniprot0.98,ShortRead,All,Bakta,Pangene,913,3349,4262,1752,1650,4918,3848,"Pangene 
 (C0.9-M0.98)",3402,8766
Pangene_0.9.Miniprot0.98,ShortRead,All,PGAP,Pangene,646,3272,3918,1181,1249,3170,3093,"Pangene 
 (C0.9-M0.98)",2430,6263
Pangene_0.9.Miniprot0.99,ShortRead,All,PGAP,Pangene,654,3272,3926,1340,1325,3453,3203,"Pangene 
 (C0.9-M0.99)",2665,6656
Pangene_0.9.Miniprot0.99,LongRead,All,Bakta,Pangene,377,3791,4168,160,469,308,657,"Pangene 
 (C0.9-M0.99)",629,965
Pangene_0.9.Miniprot0.99,LongRead,All,PGAP,Pangene,279,3816,4095,96,431,184,544,"Pangene 
 (C0.9-M0.99)",527,728
Pangene_0.9.Miniprot0.99,ShortRead,All,Bakta,Pangene,918,3367,4285,1729,1680,4702,3881,"Pangene 
 (C0.9-M0.99)",3409,8583
Pangene_0.9.Miniprot0.9,LongRead,All,Bakta,Pangene,358,3796,4154,142,454,276,625,"Pangene 
 (C0.9-M0.9)",596,901
Pangene_0.9.Miniprot0.9,LongRead,All,PGAP,Pangene,278,3815,4093,94,430,172,545,"Pangene 
 (C0.9-M0.9)",524,717
Pangene_0.9.Miniprot0.9,ShortRead,All,Bakta,Pangene,891,3328,4219,1695,1654,4795,3849,"Pangene 
 (C0.9-M0.9)",3349,8644
Pangene_0.9.Miniprot0.9,ShortRead,All,PGAP,Pangene,614,3297,3911,865,994,2425,2778,"Pangene 
 (C0.9-M0.9)",1859,5203
Pangene_0.95.Miniprot0.95,LongRead,All,Bakta,Pangene,397,3795,4192,168,478,318,688,"Pangene 
 (C0.95-M0.95)",646,1006
Pangene_0.95.Miniprot0.95,ShortRead,All,PGAP,Pangene,647,3317,3964,995,1126,2749,2973,"Pangene 
 (C0.95-M0.95)",2121,5722
Pangene_0.95.Miniprot0.95,ShortRead,All,Bakta,Pangene,887,3358,4245,1491,1516,4298,3612,"Pangene 
 (C0.95-M0.95)",3007,7910
Pangene_0.95.Miniprot0.95,LongRead,All,PGAP,Pangene,295,3818,4113,105,434,207,594,"Pangene 
 (C0.95-M0.95)",539,801
